labId               ,virusId             
60540,82168
60168,81572
60593,80353
60368,83032
60911,81468
60960,82935
60416,83954
60518,81876
60256,82027
60236,81229
60962,81612
60812,81490
60702,83560
60846,81632
60240,82460
60005,82964
60971,82174
60895,81066
60564,83352
60480,80074
60014,82472
60566,80576
60898,82764
60902,81225
60200,83019
60628,82311
60103,81132
60668,80556
60639,83064
60338,83252
60463,80599
60430,81927
60608,81787
60008,83750
60419,81001
60569,83876
60950,80563
60483,80640
60910,80448
60068,83772
60382,83280
60386,83120
60486,81348
60162,81396
60604,80167
60996,82062
60771,81050
60912,83896
60020,80360
60399,81380
60469,80868
60229,81780
60706,81024
60030,81484
60438,81752
60076,81515
60999,82380
60684,81440
60383,82102
60404,81172
60944,83484
60868,82700
60970,82706
60757,83528
60306,83642
60023,80720
60013,81243
60168,81561
60999,81074
60645,82604
60508,83798
60610,80777
60640,82108
60791,83085
60520,82166
60904,80898
60420,83538
60013,81767
60566,80630
60199,81208
60939,80844
60659,83219
60764,82912
60852,83605
60796,82106
60689,83792
60288,83987
60926,80826
60593,82578
60896,83260
60528,81565
60792,80098
60412,81948
60556,80514
60267,82576
60817,80262
60678,80947
60224,81784
60698,83557
60253,83112
60235,80218
60812,82591
60838,83354
60222,80068
60512,80128
60800,81433
60282,80678
60498,82301
60727,83951
60608,80434
60762,83216
60777,83564
60365,83058
60094,80228
60712,81975
60148,82014
60182,82476
60857,81248
60519,81782
60890,82076
60798,81320
60866,83470
60598,82844
60576,81403
60971,83556
60860,81580
60059,82768
60636,82156
60751,80439
60928,81577
60780,81726
60802,81984
60998,81969
60749,80824
60790,83211
60570,83136
60008,83706
60086,81657
60736,80923
60358,81386
60472,83163
60038,80124
60417,82343
60888,80108
60504,81240
60934,80244
60633,81136
60260,82968
60783,80907
60874,81112
60619,83690
60798,82184
60683,80772
60246,82820
60210,82240
60142,83276
60281,81880
60888,83597
60950,82783
60800,81863
60840,80513
60216,82428
60760,83979
60953,81528
60092,82078
60368,81802
60412,82571
60736,83057
60709,80324
60590,83890
60230,80866
60106,82400
60217,80480
60005,80420
60192,82984
60128,82276
60016,80839
60017,83019
60568,81224
60984,83260
60558,80292
60894,81408
60013,83492
60926,80124
60800,80927
60317,81718
60874,80992
60366,80639
60522,82068
60352,83652
60748,83054
60694,83189
60555,80902
60056,83378
60902,82132
60546,80667
60538,82684
60308,82996
60102,83603
60298,81132
60584,83966
60716,81384
60664,83347
60118,81088
60829,83117
60103,80942
60750,83305
60997,81328
60389,82791
60452,81560
60618,80545
60104,81976
60754,83456
60731,83140
60734,80557
60528,82781
60020,82404
60104,81224
60510,83656
60344,80575
60044,82464
60445,80939
60560,80124
60474,82767
60921,81850
60845,82718
60212,81216
60216,81320
60522,82383
60959,82700
60220,83945
60750,81016
60313,80340
60560,80232
60316,82372
60660,83806
60868,82636
60095,83674
60900,81339
60134,83135
60960,83206
60175,82153
60436,83061
60283,83854
60016,82112
60200,83442
60730,83968
60788,80764
60448,81278
60099,81616
60424,83236
60148,80192
60328,83117
60348,82164
60302,80832
60407,82653
60932,81773
60588,80137
60302,83127
60140,83348
60984,82126
60614,80484
60899,81690
60116,83880
60422,81965
60656,81063
60022,81066
60386,83873
60915,83584
60097,82720
60500,81488
60202,80922
60372,82027
60232,83476
60854,83775
60697,82420
60126,80988
60160,80864
