medId               ,labId               
33295,60268
22112,60974
23271,60701
31230,60981
33883,60193
38057,60677
36077,60633
27517,60630
36835,60943
20257,60226
20343,60652
27659,60692
39125,60252
33700,60576
29742,60798
24744,60012
38940,60461
23877,60736
20566,60783
22560,60002
31016,60146
21064,60537
23917,60536
25565,60492
20186,60679
25684,60614
32848,60576
38042,60064
24672,60880
37440,60972
28625,60593
26320,60472
26281,60396
29984,60168
34354,60337
22020,60800
27664,60593
36108,60168
39424,60876
38456,60028
21256,60336
36508,60160
31108,60144
26178,60258
28028,60347
34446,60668
25715,60372
33535,60104
21528,60448
38466,60086
30143,60078
33396,60740
36357,60799
29980,60704
34554,60536
28194,60202
20160,60136
28154,60986
23171,60448
21512,60162
21576,60504
20688,60106
23410,60388
23286,60969
20402,60563
21852,60630
20230,60720
20484,60780
29360,60620
36561,60166
36232,60702
32518,60448
24520,60763
31291,60347
29093,60610
20009,60005
24440,60194
23132,60837
24169,60082
28356,60262
32704,60016
38318,60328
37256,60174
33669,60572
39824,60338
28704,60968
31972,60424
27276,60661
27186,60349
24594,60840
28998,60828
23830,60713
30740,60654
38560,60458
35785,60677
24702,60394
23505,60773
21093,60787
31373,60492
28978,60164
29000,60236
36140,60412
27303,60192
35447,60185
35300,60936
32413,60022
34476,60196
36440,60834
24336,60516
30998,60042
26368,60722
20521,60928
26129,60736
34560,60350
27256,60496
39408,60022
26676,60203
29022,60866
32932,60588
39117,60792
27523,60198
34806,60128
21812,60206
24788,60696
32026,60660
23975,60060
24296,60743
34548,60093
38997,60544
33843,60672
32415,60820
33794,60848
36024,60372
36800,60248
26365,60864
24976,60962
28740,60587
21452,60156
36210,60772
35728,60714
30560,60872
23824,60997
35788,60676
25321,60119
27094,60110
21207,60150
20512,60159
28512,60541
25404,60122
38714,60540
31937,60367
26732,60915
23127,60640
24952,60076
30580,60535
28204,60096
25594,60501
35764,60912
24045,60648
37564,60320
25808,60828
27520,60706
37024,60608
28537,60874
21903,60504
37041,60448
33984,60054
38020,60099
25695,60769
38068,60284
32037,60421
30007,60154
36914,60944
34256,60608
29944,60624
37572,60122
35030,60557
31171,60540
35492,60442
21864,60632
39666,60154
38415,60236
25517,60016
23462,60051
36676,60264
36352,60432
28234,60530
23954,60294
35148,60736
38288,60788
39749,60096
22521,60115
21646,60608
20016,60936
32336,60900
37590,60133
35730,60667
31106,60171
27848,60808
36836,60280
21792,60511
20672,60658
31672,60592
36202,60853
29340,60632
23876,60128
29181,60436
20752,60112
29252,60288
31692,60290
38294,60048
26405,60256
38343,60996
