medId               ,virusId             
23748,80192
28648,83504
20988,83292
22237,83669
21240,80572
25237,80834
31232,83286
37604,83602
21229,80425
36272,81055
31736,80940
39584,82426
30808,81466
33866,81472
24107,81254
23300,80848
32870,83012
29031,82556
29357,83320
24058,82934
26347,81978
20772,81056
20922,81728
27720,80836
28484,80492
32021,80372
39178,83488
30632,81920
21502,83248
21390,83775
36144,81280
35721,81966
21622,81741
32522,80908
25175,80624
26490,83396
35201,81416
22810,83762
35298,83926
31219,80172
33541,82164
38090,81326
24061,82635
26016,82768
22640,83432
38370,80860
21436,80898
26328,83812
28416,83809
28450,83672
24979,81568
27508,82968
20920,80488
35046,80092
21916,83522
32544,81164
21262,82659
29448,83611
26304,80776
32707,82732
23382,81633
27976,82682
30256,83840
34804,83500
31062,80287
31856,81313
26958,83100
38426,81388
21799,82438
28948,80418
39324,82153
29024,82054
32112,80207
29028,81980
35889,83535
21938,81064
34528,80008
36558,82811
31950,81216
23168,80784
21240,82632
34770,83072
31271,81414
28254,80942
28600,82224
23513,81566
22932,81825
29370,82768
20804,83649
26848,81000
26188,80468
24290,82218
26748,83360
26790,81077
26622,82262
28876,80195
32944,81362
38039,82723
24380,81788
29814,80138
30720,80350
29272,81652
38086,81920
33714,83232
27975,80508
33288,83328
26622,82951
30261,81106
25385,82672
29029,82431
21685,80805
22258,81691
28149,82944
23988,80504
25664,81808
34307,81424
20398,81790
21176,83292
25882,81970
33991,81638
35220,82530
35125,83760
35688,82106
20224,82172
21128,81098
23736,82049
24831,81280
25476,83789
26870,83264
35164,81830
39776,81248
39520,82888
32864,80416
39298,83535
20336,81955
23728,83008
29680,80028
22561,82744
20672,80094
21084,82880
38461,80822
32735,81312
28916,80896
34646,83984
28479,81902
34632,82064
30398,80281
30928,80565
35794,81180
21524,80716
34700,81960
33746,80221
37527,80263
22744,80394
22429,83440
28912,81140
34848,83464
26452,81753
24992,81719
28258,83012
36653,81476
38752,82559
33428,83968
30384,82641
26704,83456
26794,80020
21154,83265
30304,82117
27870,80540
25754,80556
30398,83670
22016,82879
35216,82733
28632,83096
33971,80388
21850,80752
39322,82966
30332,82720
26606,83352
37000,83233
38012,81660
29024,82873
37018,82635
25525,82310
36006,82032
34560,80176
37876,83744
22052,81063
24821,80306
39486,81969
30891,81113
37602,80222
24302,83518
24586,81413
26312,80464
34951,83320
