labLocation         ,protectionLevel     ,labName             ,labId               
41 GALLAHER ESPLANADE - GRAND RAPIDS ITALY,3,NATURE DREAM 88,60000
31 FOUNTAINE ROAD - NASHVILLE ITALY,6,P BEIERSDORF INC.,60001
73 STURM ESPLANADE - HIGH POINT SPAIN,0,THE DIAL CORPORATION,60002
77 DREWETT STREET - LAS VEGAS FRANCE,5,SKINTECH 2000 INC.,60003
35 BARKE ROAD - GREENSBORO GERMANY,6,CHEMPEX INDUSTRIES LTD.,60004
88 HENLEY ESPLANADE - HIGH POINT SPAIN,10,MENDELIKABS INC,60005
91 COLLIER PLACE - SAN JOSE UK,8,VIVUS INC.,60006
30 BLEE DRIVE - SHREVEPORT SPAIN,0,ENVIROPRO ALTERNATIVES INC.,60007
62 BECH ESTATE - CORAL SPRINGS SPAIN,0,PERFORMANCE PLUS (INC.),60008
53 KERSWELL BUILDINGS - SPRINGFIELD USA,9,NERL DIAGNOSTICS CORPORATION,60009
28 MOORE SQUARE - DALLAS GERMANY,7,WATTS AND SON CONSULTANTS,60010
33 WALLIN BUILDINGS - GRAND RAPIDS GERMANY,5,KINGSWOOD CANADA INC.,60011
35 COURTNAY DRIVE - TOPEKA FRANCE,5,LIVERITE PRODUCTS INC.,60012
52 KEEFE TERRACE - LONG BEACH SPAIN,7,JAI PHARMA LIMITED,60013
74 LINCH ESPLANADE - MIAMI ITALY,4,HAMILTON HEALTH SCIENCES CORPORATION,60014
33 NEILLY AVENUE - BALTIMORE GERMANY,5,972731 ONTARIO INC.,60015
95 JOYCE ROAD - OKLAHOMA CITY SPAIN,6,PRODUITS SANITAIRES G G ENR,60016
71 CLEEVE AVENUE - FAIRFIELD ISRAEL,1,VITAL TECH INDUSTRIES INC.,60017
93 FIFE CRESCENT - LEXINGTON GERMANY,7,BOLTON DENTAL MANUFACTURING INC.,60018
85 FINN TERRACE - STAMFORD GERMANY,10,MARTINDALE FINANCIAL SERVICES LTD,60019
49 LION TERRACE - VALLEJO SPAIN,10,TAP PHARMACEUTICALS INC.,60020
37 LAWRY CRESCENT - RENO FRANCE,5,CATALYSIS PRODUCTS CANADA LTD.,60021
10 EVERET GARDENS - LUBBOCK ITALY,3,CASSENNE INC.,60022
50 PEARCE TERRACE - DALLAS ISRAEL,10,VIRCO PHARMACEUTICALS (CANADA) CO.,60023
53 HANSON ESPLANADE - SCOTTSDALE GERMANY,0,CRITERION SCIENCES,60024
18 HIBBERT DRIVE - RICHMOND USA,7,PACE CHEMICALS LTD.,60025
47 PARKE GROVE - MONTGOMERY USA,6,WEBBER INC.,60026
91 BRAY ROAD - ARLINGTON SPAIN,3,HACCO INC.,60027
76 RALEIGH CLOSE - SANTA ROSA SPAIN,4,MARTECH,60028
81 BRAY BUILDINGS - THORNTON UK,2,BIOMARIN INTERNATIONAL LIMITED,60029
83 WELSCH LANE - KANSAS CITY ITALY,0,TRANS-HERB E INC.,60030
99 OBRIAN ROAD - EL MONTE UK,3,BASIC PACKAGING INDUSTRIES INC.,60031
74 ALLISTAIR GARDENS - NORTH LAS VEGAS UK,5,CASSIDY LTD.,60032
24 DAWSON BUILDINGS - TUCSON SPAIN,10,STILA STYLES LLC,60033
84 MOSELY SQUARE - AURORA UK,4,L K DISTRIBUTING INC.,60034
87 REUS SQUARE - NORWALK GERMANY,0,ENTERPRISE PAPER CO. LTD,60035
27 FOWKES PARK - BIRMINGHAM ISRAEL,7,EASY WAY CLEANING PRODUCTS LIMITED,60036
36 MCLACHLAN BUILDINGS - TAMPA UK,1,PHARMACIA ANIMAL HEALTH,60037
17 MCCOLL GROVE - HUNTSVILLE ISRAEL,1,CRABTREE & EVELYN LTD.,60038
100 STEELE AVENUE - CHARLOTTE GERMANY,8,NORTH PACIFIC RIM MARKETING INC.,60039
16 PIGGOTT PARK - ABILENE USA,7,COUNTRY HEALTH LABORATORIES LTD.,60040
32 FRANKE TERRACE - SALINAS ISRAEL,2,SCA CANADA-NORTH AMERICA INC.,60041
19 WHATLEY PARK - CAPE CORAL ITALY,0,LITE & RITE INC.,60042
52 SCARFE TERRACE - VIRGINIA BEACH ITALY,8,NEVIN LABS INC.,60043
69 DUNLOP DRIVE - PROVO ITALY,4,CANADIAN ICE INTERNATIONAL,60044
81 HEGAN ESTATE - WEST VALLEY CITY UK,5,LEINER HEALTH PRODUCTS INC.,60045
70 HAINS PLACE - SUNNYVALE SPAIN,10,WELLA CANADA INC.,60046
86 GREVES TERRACE - SEATTLE ISRAEL,8,PHOENIX CHEMICAL TECHNOLOGY,60047
39 GUBBINS CRESCENT - PASADENA GERMANY,0,MORE DIRECT HEALTH PRODUCTS,60048
7 BODEN BUILDINGS - MANCHESTER UK,4,VIRBAC ANIMAL HEALTH INC,60049
94 COLLIE PARK - SAN BERNARDINO SPAIN,5,SWISHER HYGIENE FRANCHISE CORPORATION,60050
84 ANCELL CLOSE - LOUISVILLE GERMANY,8,APOTHECARY PRODUCTS INC.,60051
61 GILLMAN ROAD - LITTLE ROCK FRANCE,8,BIOTANICAL THERAPEUTICS INC.,60052
65 MAHONY GARDENS - CINCINNATI USA,6,THE PARTHENON COMPANY INC.,60053
16 BAYER PLACE - BROWNSVILLE SPAIN,3,AVANSTRA INC,60054
37 KEMPT LANE - JACKSON USA,9,DEP CORPORATION,60055
97 FOREMAN GARDENS - SANTA CLARA USA,4,RB PHARMACEUTICALS LIMITED,60056
76 MCCARTHER LANE - FRISCO ISRAEL,7,MEDICAN PHARMA INCORPORATED,60057
57 FREEZE AVENUE - HIGH POINT USA,6,CANADIAN INDUSTRIAL CHEM LTD.,60058
83 AARON PARK - WICHITA FALLS UK,6,VISION QUEST INDUSTRIES INC.,60059
33 KEEFE SQUARE - HUNTINGTON BEACH ISRAEL,4,DOMPÉ FARMACEUTICI S.P.A.,60060
86 WEBBS PARK - ERIE USA,10,COLGATE-PALMOLIVE CANADA INC,60061
62 JOHNSON TERRACE - CARROLLTON ITALY,0,CHEVITA GMBH,60062
50 MCLURE STREET - TULSA ISRAEL,9,HEUMANN PCS GMBH,60063
96 BRODERICK ESTATE - ERIE USA,1,NUTRITIONAL ENTERPRISES INC.,60064
73 BEAVER DRIVE - THORNTON FRANCE,9,COPELAND LABS,60065
42 REDMOND STREET - MORENO VALLEY FRANCE,9,HOECHST MARION ROUSSEL CANADA INC.,60066
24 HOUSE TERRACE - KILLEEN USA,5,BIO ORGANIC SOLUTIONS CORP,60067
51 HOLLEY CLOSE - BAKERSFIELD ITALY,0,MADAUS GMBH,60068
36 DANIELS PLACE - MIAMI GARDENS ISRAEL,2,LIFE BREATH HOME CARE SERVICES LTD.,60069
67 AARON ESPLANADE - NORTH LAS VEGAS USA,6,HUMAN MEDITEK CO LTD,60070
71 MELVYN PARK - SAN JOSE ISRAEL,0,ITW PERMATEX CANADA,60071
57 CHAMBERS PLACE - CENTENNIAL UK,6,SIMPAK,60072
6 MCCARTHY AVENUE - LANSING ITALY,5,GUINOT,60073
8 LEWIS ESTATE - SCOTTSDALE GERMANY,0,CAPSTONE ENTERPRISES,60074
75 LOARING LANE - NORWALK SPAIN,9,SOPHERION THERAPEUTICS LLC,60075
84 SIMMON SQUARE - PASADENA FRANCE,7,PRODUITS SANITAIRES UNIQUE INC.,60076
42 DEWHIRST AVENUE - MODESTO SPAIN,9,MANTRA PHARMA INC,60077
13 BRADEN ROAD - PROVIDENCE UK,9,DENTEC SAFETY SPECIALISTS INC,60078
11 DODGSON DRIVE - OAKLAND ITALY,8,BERNA BIOTECH LTD,60079
100 SHAEFFER DRIVE - TOLEDO GERMANY,5,JASON NATURAL PRODUCTS INC.,60080
45 FEAVER PARK - BAKERSFIELD SPAIN,2,KOEGLER LABORATORIES INC.,60081
61 RILEY LANE - SALEM GERMANY,10,INTERNATIONAL DIOXCIDE INC.,60082
29 JOYES CLOSE - GARLAND UK,10,PITMAN-MOORE INC.,60083
49 ELLSWORTH SQUARE - ANAHEIM FRANCE,10,E.T. BROWNE DRUG CO. INC.,60084
