medName             ,medType             ,medId               ,quantity            ,factCompany         
ARGENTUM NITRICUM 200C,Mood stabilizers,20000,62949,ELLON BACH USA INC.
ADPHEN,Analgesics,20001,6240,RODECA INC. DIVISION OF TECHNILAB INC.
AVITA,Tranquilizers,20002,81795,GOLDMARK SANITATION
LASER BLOCK 100,Mood stabilizers,20003,10180,SHIRE BIOCHEM INC
IOSAT,Statins,20004,10129,PRO-MA SYSTEMS
GEREF,Tranquilizers,20005,35396,LABORATOIRE MERIEL
VAG PACK,Tranquilizers,20006,78172,BIOENERGY INC.
LINCOCIN,Antimalarial,20007,88130,HENRY SCHEIN INC.
COLD SORE COMPLEX,Analgesics,20008,64010,DESCHEM
INCRUSE ELLIPTA,Analgesics,20009,72682,NUGALE PHARMACEUTICAL INC
PARAFON FORTE DSC,Stimulants,20010,53896,L'HERBIER DU MIDI
INFLUENZINUM 2015-2016,Antiseptics,20011,9253,BOCKNEK LTD.
PLATINUM METALLICUM,Stimulants,20012,42088,BENJEL-LABORATOIRES
LENZAGEL,Antimalarial,20013,55261,NORTH PACIFIC RIM MARKETING INC.
PERFECT PURITY HOTICE,Statins,20014,12717,STANDARD HOMEOPATHIC CANADA INC.
SIMPLY BEIGE,Analgesics,20015,15483,RAYONIX INC.
QBREXZA,Antimalarial,20016,31910,INTERNATIONAL MEDICATION SYSTEMS LTD.
HELP I HAVE A HEADACHE,Antibiotics,20017,53728,BIOQUELL INC
BREATHE EASY CHEST,Antimalarial,20018,69208,PHARMAX CANADA LTD.
DOXAZOSIN MESYLATE,Hormone replacements,20019,23242,GMS SURFACE TECH LIMITED
RIDAURA,Statins,20020,69244,ORGANON CANADA LTD LTEE
TRICHOPHYTON MIX,Hormone replacements,20021,8766,FRANK W HORNER INC.
AGGRENOX,Antibiotics,20022,13585,CPS PRODUCTS CANADA LTD
DCS SUPER AQUA MASK,Hormone replacements,20023,98810,SUPERNA LIFE SCIENCES INCORPORATED
EAR WAX KIT,Hormone replacements,20024,10120,MADAUS GMBH
OXCARBAZEPINE,Antipyretics,20025,89060,ALKAPHARM
GREENTINOL,Hormone replacements,20026,38215,ABTOX INC.
HAND SANITIZER,Stimulants,20027,75780,PENTA PHARMACEUTICALS
TREATMENT SET TS331150,Antibiotics,20028,82302,THE BUCKLEY'S COMPANY
GONAL-F RFF REDI-JECT,Antiseptics,20029,38613,AYOTAI CANADA INC.
RENELIX,Antiseptics,20030,88910,VIROX TECHNOLOGIES INC
OXICONAZOLE NITRATE,Tranquilizers,20031,36015,PRODEMDIS ENR.
BLISOVI FE 1.5/30,Antiseptics,20032,1146,PRODUITS CHIMIQUES DESMARAIS INC. (LES)
AGAVE TEQUILANA,Antipyretics,20033,18686,BETHANY PRODUCTS INC.
NORPACE CR,Mood stabilizers,20034,43358,NEXT GENERATION PHARMA INC
PALMERS SKIN SUCCESS,Analgesics,20035,84708,KROEGER HERB PRODUCTS
