virusName           ,virusId             ,sources             ,dangerLevel         
KLYMENE,80000,GUINEA BISSAU,61
WEZN,80001,ASCENSION ISLAND,45
MAXENTIUS,80002,CAPE VERDE,16
MILLFIELD,80003,GUINEA BISSAU,80
MCCORMICKS,80004,EAST TIMOR,66
BEVA-32,80005,TOBAGO,29
OPLISMENUS,80006,MEXICO,45
ASTELIA,80007,SLOVAKIA,35
PNEUMONIA,80008,NIUE,25
HESS,80009,MYANMAR,41
BALSAM,80010,SAINT VINCENT AND THE GRENADINES,16
ARGYREIA,80011,SENEGAL,73
MARJORAM,80012,LUXEMBOURG,26
LANDS,80013,UNITED STATES,36
MUIREDGE,80014,SIERRA LEONE,65
BULLA,80015,EIRE,26
GESIA KEPA,80016,LESOTHO,35
PEN-Y-CAE,80017,SERBIA,97
SATUREJA,80018,DJIBOUTI,97
VP,80019,TUNISIA,27
SKULL,80020,TONGA,65
THIEF NECK,80021,VENEZUELA,46
RØMØ,80022,UKRAINE,96
EGG,80023,TRISTAN DA CUNHA,15
THURØ,80024,AMERICA,70
DEDICATED,80025,IRAN,94
ALIOTH,80026,SAMOA,24
X77,80027,MOLDOVA,58
DRUMHEAD,80028,CHINA,92
ORBEOPSIS,80029,CHAD,100
BATTYFIELD,80030,GUINEA BISSAU,66
ALGIBACTER,80031,GREENLAND,56
LEUKEMIA,80032,NAURU,35
HEARTBURN,80033,ISLE OF MAN,9
OBESITY,80034,SAINT BARTHELEMY,15
CHASMANTHE,80035,BURMA,70
WINSTANLEY,80036,FIJI,37
INHACA,80037,SAINT PIERRE AND MIQUELON,86
BUSTARD,80038,BURKINA FASO,42
ABSCESS,80039,GUINEA,23
ALLANS CAY,80040,SAINT KITTS AND NEVIS,62
MOZKIN,80041,SAINT LUCIA,50
SPONGE BAR,80042,SLOVAKIA,83
TUFUKA,80043,ROMANIA,70
CRIUS,80044,KIRIBATI,95
DOVE CAY,80045,LATVIA,59
PORCHER,80046,PANAMA,40
DRUPE,80047,HAITI,84
ADDIE WELL,80048,DENMARK,98
FALSE DUCK,80049,BANGLADESH,72
MORAXELLA,80050,MONACO,60
PLEURISY,80051,COLOMBIA,26
GEEK,80052,UKRAINE,47
MISK,80053,MOROCCO,99
JDBGMGR,80054,GEORGIA,16
JÌRI,80055,TOBAGO,12
JIANGELLA,80056,TONGA,73
PASTEURIA,80057,BOSNIA HERZEGOVINA,38
FOOT ULCER,80058,SAINT MARTIN,3
CHIEFS,80059,CAPE VERDE,59
HIMLEY,80060,VANUATU,64
JAN MAYEN,80061,SCOTLAND,14
ERWA,80062,ALBANIA,88
PENSTEMON,80063,GRENADA,40
BIGSBY,80064,LITHUANIA,71
FARGESIA,80065,BELARUS,54
ILLICIUM,80066,KYRGYZSTAN,54
PENGUIN,80067,NORTHERN IRELAND,12
GRAMMAR,80068,MOROCCO,74
YOROSHIMA,80069,MALTA,50
FANNY,80070,GABON,38
RAROIA,80071,YEMEN,39
BONNYTON,80072,COOK ISLANDS,10
MACMAG,80073,NIUE,27
TELEPHIUM,80074,VATICAN CITY,46
BANANA,80075,KAZAKHSTAN,70
CROWLIN,80076,BOSNIA HERZEGOVINA,17
CARUS,80077,CANADA,62
LARRY,80078,LUXEMBOURG,94
CAREX,80079,NIGER,8
FORGE,80080,ERITREA,84
ARTERITIS,80081,SCOTLAND,36
CROTALARIA,80082,SENEGAL,7
ADDICTION,80083,SOUTH KOREA,24
BRYN MAWR,80084,MALDIVE ISLANDS,22
MUMPS,80085,FALKLAND ISLANDS,51
HILLS MINE,80086,TURKMENISTAN,32
BEDSORES,80087,LATVIA,9
AURINIA,80088,MAURITANIA,77
HAUGH,80089,FALKLAND ISLANDS,97
NEGIT,80090,ANGOLA,48
ANKYLOSIS,80091,SAINT KITTS AND NEVIS,37
KINGCUP,80092,TRINIDAD,98
COD,80093,ABKHAZIA,56
FAMR,80094,COOK ISLANDS,32
TACHYPNEA,80095,NORTH KOREA,15
KOH TREAS,80096,NETHERLANDS,92
PANT HILL,80097,EIRE,7
NEVUS,80098,NETHERLANDS,54
KAIMES,80099,GHANA,8
FISH,80100,FALKLAND ISLANDS,3
RESET,80101,GERMANY,89
HERE,80102,RUSSIA,27
STONE ROAD,80103,SOLOMON ISLANDS,92
COSSALL,80104,BAHRAIN,3
CANNABIS,80105,BOTSWANA,22
JERUSALEM,80106,MEXICO,89
EMROYD,80107,SWAZILAND,69
BROOM,80108,ALBANIA,45
WAIHEKE,80109,SPAIN,94
ANTENNARIA,80110,SIERRA LEONE,39
COLESHILL,80111,CHINA,68
FORMENTERA,80112,SURINAME,100
FRANCOIS,80113,SAINT BARTHELEMY,66
HIV/AIDS,80114,PUERTO RICO,88
CARINUS,80115,LIECHTENSTEIN,91
PYROSTEGIA,80116,SWEDEN,1
AJIRAH,80117,HOLLAND,67
CEDRONELLA,80118,UNITED STATES,6
CHIONODOXA,80119,REPUBLIC OF IRELAND,80
EVANS,80120,SPAIN,40
THROMBOSIS,80121,SURINAME,62
SIMMONDSIA,80122,UK,45
KNOWBURY,80123,RUSSIA,46
HODDLESDEN,80124,LITHUANIA,82
KALMIOPSIS,80125,NORTHERN IRELAND,92
LOVE GRASS,80126,REPUBLIC OF IRELAND,76
OTTOWIA,80127,TUVALU,5
ASPEN,80128,SWAZILAND,79
LLANDAVAL,80129,TUNISIA,25
DIASCIA,80130,BURUNDI,2
COELOGYNE,80131,SWAZILAND,18
MATAKANA,80132,TURKEY,86
MAP PLANT,80133,GUINEA-BISSAU,26
SUALOCIN,80134,KIRIBATI,38
ELLERBECK,80135,SAINT LUCIA,27
SWAN LANE,80136,HOLLAND,83
YAWS,80137,POLAND,32
BENBECULA,80138,SYRIA,74
NORTH BASS,80139,GUYANA,79
DAY10,80140,UGANDA,89
HOHERIA,80141,CZECH REPUBLIC,35
ULMUS,80142,RWANDA,35
STAG,80143,SOUTHERN IRELAND,53
LANC5476,80144,PANAMA,43
EUCOMMIA,80145,SPAIN,39
VIGNA,80146,TRANSNISTRIA,12
HYDROCELE,80147,ERITREA,72
SCADOXUS,80148,UZBEKISTAN,33
ERYTHEMA,80149,CHRISTMAS ISLAND,56
CHASER,80150,VIRGIN ISLANDS,46
ANGEL,80151,DOMINICAN REPUBLIC,94
