Name_Of_Product            ,Product_ID               ,Inventory            ,Importer         
ARGENTUM NITRICUM 200C,20000,62949,ELLON BACH USA INC.
ADPHEN,20001,6240,RODECA INC. DIVISION OF TECHNILAB INC.
AVITA,20002,81795,GOLDMARK SANITATION
LASER BLOCK 100,20003,10180,SHIRE BIOCHEM INC
IOSAT,20004,10129,PRO-MA SYSTEMS
GEREF,20005,35396,LABORATOIRE MERIEL
VAG PACK,20006,78172,BIOENERGY INC.
LINCOCIN,20007,88130,HENRY SCHEIN INC.
COLD SORE COMPLEX,20008,64010,DESCHEM
INCRUSE ELLIPTA,20009,72682,NUGALE PHARMACEUTICAL INC
PARAFON FORTE DSC,20010,53896,L'HERBIER DU MIDI
INFLUENZINUM 2015-2016,20011,9253,BOCKNEK LTD.
PLATINUM METALLICUM,20012,42088,BENJEL-LABORATOIRES
LENZAGEL,20013,55261,NORTH PACIFIC RIM MARKETING INC.
PERFECT PURITY HOTICE,20014,12717,STANDARD HOMEOPATHIC CANADA INC.
SIMPLY BEIGE,20015,15483,RAYONIX INC.
QBREXZA,20016,31910,INTERNATIONAL MEDICATION SYSTEMS LTD.
HELP I HAVE A HEADACHE,20017,53728,BIOQUELL INC
BREATHE EASY CHEST,20018,69208,PHARMAX CANADA LTD.
DOXAZOSIN MESYLATE,20019,23242,GMS SURFACE TECH LIMITED
RIDAURA,20020,69244,ORGANON CANADA LTD LTEE
TRICHOPHYTON MIX,20021,8766,FRANK W HORNER INC.
AGGRENOX,20022,13585,CPS PRODUCTS CANADA LTD
DCS SUPER AQUA MASK,20023,98810,SUPERNA LIFE SCIENCES INCORPORATED
EAR WAX KIT,20024,10120,MADAUS GMBH
OXCARBAZEPINE,20025,89060,ALKAPHARM
GREENTINOL,20026,38215,ABTOX INC.
HAND SANITIZER,20027,75780,PENTA PHARMACEUTICALS
TREATMENT SET TS331150,20028,82302,THE BUCKLEY'S COMPANY
GONAL-F RFF REDI-JECT,20029,38613,AYOTAI CANADA INC.
RENELIX,20030,88910,VIROX TECHNOLOGIES INC
OXICONAZOLE NITRATE,20031,36015,PRODEMDIS ENR.
BLISOVI FE 1.5/30,20032,1146,PRODUITS CHIMIQUES DESMARAIS INC. (LES)
AGAVE TEQUILANA,20033,18686,BETHANY PRODUCTS INC.
NORPACE CR,20034,43358,NEXT GENERATION PHARMA INC
PALMERS SKIN SUCCESS,20035,84708,KROEGER HERB PRODUCTS
IDOLE NATURAL ORGANIC,20036,12330,LABORATOIRE MIGAR LTÉE
HEADACHE VOMITING,20037,62292,PIERRE FABRE PHARMA CANADA INC
GOODSENSE DIAPER RASH,20038,44779,HERBALIFE INTERNATIONAL OF AMERICA INC.
ATHLETE S FOOT,20039,76787,GENZYME CORPORATION
DALVANCE,20040,65827,BOCKNEK LTD.
BETTER BREATH,20041,65220,ULTIMA HEALTH PRODUCTS INC.
AMPHADASE,20042,52557,CHX TECHNOLOGIES INC
SUPER AQUA TONER,20043,99550,NATURE'S CURE INC.
INDIGESTION DIARRHEA,20044,27222,BAVARIAN NORDIC AS
VOTRIENT,20045,2897,INTERNATIONAL DISTRIBUTION SYSTEMS INC.
MEDULLA OSSIUM 8,20046,40576,TABERCO INC.
SUBOXONE,20047,83289,DEPRENYL RESEARCH LTD.
LONG LAST MAKEUP 05,20048,41827,SPECTROPHARM INC.
ID ANTI ACNE,20049,33168,PARROT INC.
PORCINE SECRETIN,20050,15030,TELIGENT CANADA INC
ECHINACEA SUPPORT,20051,59251,TEVA PHARMACEUTICAL INDUSTRIES LTD
WAL PHED,20052,10261,HEINRICH MACK NACHFOLGER
BRUT OVERDRIVE,20053,95897,APOTEX INC
FRESHNAILS,20054,86114,CUMBERLAND PHARMACEUTICALS INC
EUCALYPTUS POLLEN,20055,32511,VAN R DENTAL PRODUCTS INC.
QTERNMET XR,20056,62410,KENRAL INC.
RUNNY NOSE,20057,70808,COURTIERS DE L'EST DSD INC.
ENGLISH WALNUT,20058,48665,CADBURY ADAMS CANADA INC.
SCALLOP,20059,88,GROUPE PARALL INC
HYDROXYZINE,20060,12830,KAM SCIENTIFIC INC.
SMOOTH BROME GRASS,20061,42602,CASSIDY LTD.
WAL-FEX,20062,44493,BABSON BROTHERS COMPANY
SKIN ACTIVATOR,20063,90297,UNIFEED
GADAVIST,20064,61687,GLENWOOD LABORATORIES CANADA LTD.
EAR CARE EARACHE DROPS,20065,14953,BLU-FIN DISTRIBUTORS OF CANADA LTD.
TENORETIC 50,20066,61447,AQUAOXAN SOLUTION INC
E ENZYME,20067,12793,KOENDERS WATER SOLUTIONS
DR.G RED-BLEMISH CLEAR,20068,81911,SKRETTING
MEDI-FIRST PEP-T-MED,20069,43533,NUTRITION PLUS PHARMACY LTD.
ONEREF 40 NUMBER 640,20070,84003,THE MENTHOLATUM COMPANY OF CANADA LTD
PAIN RELIEF SLEEVE,20071,76901,SANITARY SUPPLIES & FOOD EQUIPMENT LTD.
HAIR AND NAILS FORMULA,20072,41452,EASY MOTION ANIMAL PRODUCTS
TECENTRIQ,20073,69539,ALOE VERA OF AMERICA INC.
NALFON,20074,11702,CONFORTMEDIC TECHNOLOGIES INC
SR RENEW,20075,17389,CARAT PHARMACEUTICALS INC.
ARMONAIR DIGIHALER,20076,90050,NEW SPIRIT NATURALS INC.
AN ADC SP INTENSIVE BB,20077,82844,EURODELLE INC.
PREFEST,20078,48747,LES LABORATOIRES VACHON INC.
MALLY LIP DEFENDER,20079,84083,ORION INTERNATIONAL INC.
LEADER CAPSAICIN,20080,30487,SPORICIDIN INTERNATIONAL
COLIC WITH GAS,20081,22584,SWABPLUS CANADA INC.
RYVENT,20082,65063,RW CONSUMER PRODUCTS LTD
LIPEN 40 (NUMBER 55),20083,84370,ALTACOMP ENTERPRISES INC
SECALE CORNUTUM 200C,20084,37820,DECHRA LTD
DOCK/SORREL MIXTURE,20085,30949,1560678 ONTARIO INC.
GMC MEDICAL,20086,49091,RAFTER 8 PRODUCTS INC
HARD MAPLE POLLEN,20087,10348,LABORATOIRES DARPHIN
IMIPRAMINE PAMOATE,20088,98727,FREEMAN COSMETIC CORP.
AGGRASTAT,20089,33043,AVONDALE (BRINNY) CHEMICAL COMPANY
ECO WHITENING,20090,28358,AMGEN CANADA INC
LISINOPRIL 2.5MG,20091,31528,DALCAM SANITATION SOLUTIONS INC.
TREATMENT SET TS340796,20092,998,LABORATOIRES KLORANE
SURGICAL SCRUB,20093,46290,LABORATOIRES HOLIS INC.
ZINCUM MURIATICUM,20094,62873,ETHENA HEALTHCARE INC.
HAND WASHING,20095,79802,ZICAM LLC
BITE RELIEF,20096,70306,WATER SOLUBLE SUPPOSITORIES INC.
CALMING DYNAMICS,20097,20307,FAIRTRADE INTERNATIONAL CO. LTD.
BENZTROPINE MESYLATE,20098,75292,IRIS ENRG LES DISTRIBUTIONS
PAZOL,20099,42676,VIPONT PHARMACETICAL INC.
SOMBRA COOL THERAPY,20100,89059,MADAUS MURDOCK INC.
SIROLIMUS,20101,25503,CITADEL ANIMAL HEALTH
VISCUM MALI 10MG,20102,45188,CUMBERLAND SWAN HOLDINGS INC.
DIABINS 40 NUMBER 638,20103,93416,NATIONWIDE NATURAL FOODS INC.
ALTAFLUOR,20104,60108,BEE SMART PRODUCTS DIVISION
DEL-VI-A,20105,79981,ALLFOOD PRODUCTS CANADA INC.
KALI TARTARICUM,20106,36237,TOMMY HILFIGER TOILETRIES DIST.
TRI-LO-LINYAH,20107,93842,NU-VITE
DOCTORRELIEF,20108,33814,OPTIMUM WELLNESS HEALTH PRODUCTS LTD
CUMIN,20109,68196,WAKUNAGA PHARMACEUTICAL CO LTD.
LOMANATE,20110,76253,TAP PHARMACEUTICALS INC.
TERCONAZOLE,20111,54004,CHENCHIAM INC.
FEMALE LIBIDO,20112,28250,ECOLOGY SOLUTIONS INC.
HEAVY FLOW,20113,76591,TOTAL SCIENCE CANADA INCORPORATION
OSCAR,20114,35380,ADM LABO CANADA INC
ADAZIN,20115,31147,TEISEN PRODUCTS
KALI PHOSPHORICUM,20116,48978,BIOGEN CANADA INC
TREATMENT SET TS348491,20117,8154,GREY WOLF ANIMAL HEALTH INC
MINIVELLE,20118,21811,COLOR ME BEAUTIFUL INC.
COXSACKIE HOMOCHORD,20119,85652,JMSR DISTRIBUTOR CANADA CO LTD
